car_ID,CarName,fueltype,doornumber,carbody,drivewheel,enginelocation,cylindernumber,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero giulia,gas,two,convertible,rwd,front,four,111,5000,21,27,13495
2,alfa-romero stelvio,gas,two,convertible,rwd,front,four,111,5000,21,27,16500
3,alfa-romero Quadrifoglio,gas,two,hatchback,rwd,front,six,154,5000,19,26,16500
4,audi 100 ls,gas,four,sedan,fwd,front,four,102,5500,24,30,13950
5,audi 100ls,gas,four,sedan,4wd,front,five,115,5500,18,22,17450
6,audi fox,gas,two,sedan,fwd,front,five,110,5500,19,25,15250
7,audi 100ls,gas,four,sedan,fwd,front,five,110,5500,19,25,17710
8,audi 5000,gas,four,wagon,fwd,front,five,110,5500,19,25,18920
9,audi 4000,gas,four,sedan,fwd,front,five,140,5500,17,20,23875
10,audi 5000s (diesel),gas,two,hatchback,4wd,front,five,160,5500,16,22,17859.167
11,bmw 320i,gas,two,sedan,rwd,front,four,101,5800,23,29,16430
12,bmw 320i,gas,four,sedan,rwd,front,four,101,5800,23,29,16925
13,bmw x1,gas,two,sedan,rwd,front,six,121,4250,21,28,20970
14,bmw x3,gas,four,sedan,rwd,front,six,121,4250,21,28,21105
15,bmw z4,gas,four,sedan,rwd,front,six,121,4250,20,25,24565
16,bmw x4,gas,four,sedan,rwd,front,six,182,5400,16,22,30760
17,bmw x5,gas,two,sedan,rwd,front,six,182,5400,16,22,41315
18,bmw x3,gas,four,sedan,rwd,front,six,182,5400,15,20,36880
19,chevrolet impala,gas,two,hatchback,fwd,front,three,48,5100,47,53,5151
20,chevrolet monte carlo,gas,two,hatchback,fwd,front,four,70,5400,38,43,6295
21,chevrolet vega 2300,gas,four,sedan,fwd,front,four,70,5400,38,43,6575
22,dodge rampage,gas,two,hatchback,fwd,front,four,68,5500,37,41,5572
23,dodge challenger se,gas,two,hatchback,fwd,front,four,68,5500,31,38,6377
24,dodge d200,gas,two,hatchback,fwd,front,four,102,5500,24,30,7957
25,dodge monaco (sw),gas,four,hatchback,fwd,front,four,68,5500,31,38,6229
26,dodge colt hardtop,gas,four,sedan,fwd,front,four,68,5500,31,38,6692
27,dodge colt (sw),gas,four,sedan,fwd,front,four,68,5500,31,38,7609
28,dodge coronet custom,gas,two,sedan,fwd,front,four,102,5500,24,30,8558
29,dodge dart custom,gas,four,wagon,fwd,front,four,88,5000,24,30,8921
30,dodge coronet custom (sw),gas,two,hatchback,fwd,front,four,145,5000,19,24,12964
31,honda civic,gas,two,hatchback,fwd,front,four,58,4800,49,54,6479
32,honda civic cvcc,gas,two,hatchback,fwd,front,four,76,6000,31,38,6855
33,honda civic,gas,two,hatchback,fwd,front,four,60,5500,38,42,5399
34,honda accord cvcc,gas,two,hatchback,fwd,front,four,76,6000,30,34,6529
35,honda civic cvcc,gas,two,hatchback,fwd,front,four,76,6000,30,34,7129
36,honda accord lx,gas,four,sedan,fwd,front,four,76,6000,30,34,7295
37,honda civic 1500 gl,gas,four,wagon,fwd,front,four,76,6000,30,34,7295
38,honda accord,gas,two,hatchback,fwd,front,four,86,5800,27,33,7895
39,honda civic 1300,gas,two,hatchback,fwd,front,four,86,5800,27,33,9095
40,honda prelude,gas,four,sedan,fwd,front,four,86,5800,27,33,8845
